id,model,connectance_mod,complexity_mod,distance_mod,basal_mod,top_mod,S1_mod,S2_mod,S4_mod,S5_mod
12,random,0.015814712784409754,0.9727342900178196,3.0,20.0,17.0,196.0,2.0,98.0,103.0
12,niche,0.01756198347107438,0.9663472757434809,2.0,31.0,21.0,147.0,10.0,97.0,181.0
12,cascade,0.017076218242399,0.9670062597462361,6.0,17.0,25.0,175.0,9.0,174.0,118.0
12,hierarchy,0.0151,0.9735876881997256,2.0,14.0,23.0,178.0,0.0,126.0,79.0
12,maxent,0.014704440741103813,0.9299842947115828,2.0,26.0,75.0,0.0,0.0,1523.0,154.0
13,random,0.03326474622770919,0.9619172257159097,1.0,5.0,9.0,124.0,4.0,64.0,56.0
13,niche,0.03344867358708189,0.9473621784280342,2.0,21.0,11.0,77.0,12.0,70.0,140.0
13,cascade,0.032914201183431954,0.9545407892210384,5.0,13.0,14.0,89.0,7.0,95.0,88.0
13,hierarchy,0.03155006858710562,0.9698708880125921,2.0,9.0,6.0,124.0,1.0,68.0,63.0
13,maxent,0.03155006858710562,0.937668544642051,2.0,15.0,39.0,0.0,0.0,401.0,153.0
18,random,0.053497942386831275,0.97293431383372,4.0,5.0,2.0,49.0,2.0,17.0,22.0
18,niche,0.07653061224489796,0.9175624132669954,2.0,11.0,7.0,53.0,5.0,59.0,131.0
18,cascade,0.053497942386831275,0.956745997357938,6.0,8.0,7.0,39.0,3.0,33.0,34.0
18,hierarchy,0.041617122473246136,0.9647604380764111,2.0,9.0,7.0,25.0,0.0,14.0,18.0
18,maxent,0.04518430439952437,0.9300001252539091,2.0,11.0,18.0,0.0,0.0,79.0,47.0
3259,random,0.1375,0.9473957532005297,1.0,0.0,1.0,72.0,9.0,29.0,24.0
3259,niche,0.1,0.9533703529461586,2.0,4.0,0.0,29.0,9.0,14.0,38.0
3259,cascade,0.13,0.9200520619895804,3.0,5.0,2.0,61.0,29.0,51.0,59.0
3259,hierarchy,0.14,0.9230319276337821,1.0,3.0,0.0,57.0,6.0,26.0,29.0
3259,maxent,0.15,0.914068990249991,2.0,3.0,6.0,46.0,35.0,109.0,82.0
908,random,0.03875,0.9671954398507968,2.0,8.0,6.0,52.0,2.0,23.0,27.0
908,niche,0.05551020408163265,0.9248767381818229,2.0,12.0,10.0,33.0,11.0,60.0,91.0
908,cascade,0.03741496598639456,0.9609477433867578,3.0,12.0,10.0,59.0,4.0,55.0,83.0
908,hierarchy,0.03461330448891293,0.9727199610386448,1.0,8.0,6.0,79.0,1.0,40.0,37.0
908,maxent,0.03407247160627366,0.9277267173747599,2.0,17.0,26.0,0.0,0.0,188.0,101.0
23,random,0.0664819944598338,0.9599048261871167,2.0,5.0,3.0,9.0,1.0,7.0,8.0
23,niche,0.055401662049861494,0.9690480006113358,2.0,8.0,5.0,14.0,1.0,5.0,13.0
23,cascade,0.0650887573964497,0.9670372737528324,3.0,5.0,5.0,6.0,0.0,4.0,3.0
23,hierarchy,0.05817174515235457,0.9656783728364332,1.0,3.0,8.0,9.0,1.0,11.0,2.0
23,maxent,0.055401662049861494,0.9217337041098393,2.0,8.0,11.0,0.0,0.0,31.0,15.0
909,random,0.020833333333333332,0.9626794619302572,2.0,17.0,12.0,303.0,9.0,146.0,174.0
909,niche,0.021717451523545706,0.9501922833507694,2.0,31.0,7.0,218.0,10.0,145.0,470.0
909,cascade,0.018533944189920867,0.9589080271177839,5.0,18.0,25.0,208.0,8.0,197.0,174.0
909,hierarchy,0.0189,0.9662571015351816,2.0,15.0,9.0,301.0,4.0,150.0,148.0
909,maxent,0.0192,0.9461742734190107,2.0,24.0,76.0,0.0,0.0,1150.0,353.0
946,random,0.03689236111111111,0.9484842289848071,1.0,4.0,1.0,868.0,30.0,417.0,433.0
946,niche,0.03861718117701468,0.9171520724789703,2.0,33.0,12.0,701.0,62.0,785.0,1253.0
946,cascade,0.035807291666666664,0.943634082012191,5.0,11.0,16.0,786.0,49.0,705.0,579.0
946,hierarchy,0.037543402777777776,0.9474084529606257,1.0,4.0,2.0,883.0,27.0,512.0,502.0
946,maxent,0.03721788194444445,0.9395517618146861,2.0,65.0,31.0,0.0,0.0,1554.0,2226.0
26,random,0.0661625708884688,0.9563918302061463,2.0,5.0,5.0,28.0,0.0,19.0,16.0
26,niche,0.08390022675736962,0.936432203042321,2.0,11.0,0.0,10.0,0.0,8.0,24.0
26,cascade,0.06049149338374291,0.9645356958987975,3.0,7.0,5.0,31.0,0.0,22.0,27.0
26,hierarchy,0.05555555555555555,0.9670898269717345,1.0,5.0,6.0,35.0,3.0,19.0,11.0
26,maxent,0.059027777777777776,0.962146013073246,2.0,4.0,9.0,27.0,6.0,24.0,12.0
27,random,0.01460641113616312,0.9751897996308547,2.0,17.0,17.0,195.0,3.0,88.0,97.0
27,niche,0.01884610937680657,0.9532811145044076,2.0,35.0,19.0,129.0,3.0,145.0,236.0
27,cascade,0.013406065088757397,0.9665283927556284,5.0,32.0,35.0,132.0,5.0,122.0,112.0
27,hierarchy,0.013333333333333334,0.9738116316931612,1.0,19.0,24.0,175.0,0.0,102.0,73.0
27,maxent,0.013349946600213599,0.9008518639819881,2.0,9.0,97.0,0.0,0.0,2807.0,95.0
28,random,0.12802768166089964,0.9548889650986742,1.0,0.0,2.0,27.0,5.0,12.0,9.0
28,niche,0.12654320987654322,0.8752270247194566,2.0,6.0,6.0,22.0,16.0,46.0,55.0
28,cascade,0.09567901234567901,0.9331904878167859,3.0,5.0,3.0,19.0,8.0,23.0,34.0
28,hierarchy,0.11419753086419752,0.9428461305980197,1.0,4.0,2.0,45.0,7.0,19.0,19.0
28,maxent,0.11728395061728394,0.9248404664849561,3.0,4.0,5.0,24.0,5.0,30.0,25.0
947,random,0.14127423822714683,0.9229420575864747,4.0,1.0,1.0,33.0,6.0,20.0,19.0
947,niche,0.1882716049382716,0.8666784961164473,2.0,5.0,3.0,16.0,17.0,19.0,33.0
947,cascade,0.15512465373961218,0.9044020040342808,4.0,4.0,3.0,66.0,38.0,72.0,62.0
947,hierarchy,0.1634349030470914,0.9215362307418365,1.0,1.0,0.0,70.0,13.0,35.0,30.0
947,maxent,0.16066481994459833,0.9159057942399547,3.0,2.0,3.0,35.0,35.0,54.0,71.0
1262,random,0.08875739644970414,0.945213328855515,2.0,2.0,2.0,42.0,5.0,18.0,18.0
1262,niche,0.1072,0.8837291081486001,2.0,13.0,0.0,9.0,10.0,18.0,98.0
1262,cascade,0.07248520710059171,0.9346434602587567,4.0,6.0,7.0,48.0,7.0,42.0,43.0
1262,hierarchy,0.08727810650887574,0.9514662117636454,1.0,1.0,1.0,52.0,2.0,35.0,25.0
1262,maxent,0.08875739644970414,0.8855453606071969,3.0,14.0,7.0,2.0,9.0,101.0,204.0
1261,random,0.11834319526627218,0.9637968790287358,2.0,3.0,1.0,7.0,1.0,3.0,8.0
1261,niche,0.13194444444444445,0.9158376956303879,2.0,4.0,3.0,8.0,5.0,9.0,18.0
1261,cascade,0.11834319526627218,0.9382446773684959,4.0,4.0,2.0,19.0,3.0,10.0,15.0
1261,hierarchy,0.09467455621301775,0.9592939132566679,1.0,3.0,4.0,9.0,0.0,6.0,4.0
1261,maxent,0.10059171597633136,0.9509036100737879,2.0,7.0,3.0,1.0,1.0,12.0,18.0
1219,random,0.05325255102040816,0.9437839384364486,2.0,2.0,1.0,379.0,21.0,176.0,185.0
1219,niche,0.06792091836734694,0.8981219414836287,3.0,18.0,1.0,134.0,53.0,237.0,431.0
1219,cascade,0.06536989795918367,0.925238880659872,4.0,8.0,5.0,451.0,64.0,414.0,419.0
1219,hierarchy,0.05580357142857143,0.9521043307490294,1.0,1.0,0.0,385.0,28.0,225.0,182.0
1219,maxent,0.05644132653061224,0.9124978777010104,3.0,32.0,0.0,144.0,81.0,108.0,767.0
1237,random,0.09580246913580247,0.9382405515087238,1.0,0.0,0.0,466.0,54.0,227.0,243.0
1237,niche,0.11012345679012346,0.8926595073393596,2.0,11.0,2.0,241.0,98.0,406.0,585.0
1237,cascade,0.10320987654320987,0.9203801873659581,3.0,3.0,6.0,453.0,134.0,581.0,436.0
1237,hierarchy,0.10469135802469136,0.9248556768494528,1.0,3.0,0.0,726.0,183.0,360.0,401.0
