id,public,name,date,position,created,updated,user,description,complete,dataset
19,true,roberson_1929_18990701_19,1899-07-01T00:00:00.0,"[-89.8818, 39.2798]",2019-02-22T18:47:30.0,2019-02-22T18:47:30.0,3,"Insects observed pollinating flowers, ten miles of Carlinville, Illinois, USA",false,🗃️  Mangal dataset #1 (roberson_1929)
12,true,howking_1968_19680601_12,1968-06-01T00:00:00.0,"[-71.3, 81.8166667]",2019-02-22T18:21:58.0,2019-02-22T18:21:58.0,2,"Insect activity recorded on flower at Lake Hazen, Ellesmere Island, N.W.T., Canada",false,🗃️  Mangal dataset #2 (howking_1968)
13,true,witt_1998_19980101_13,1998-01-01T00:00:00.0,"[-50.55, 66.9667]",2019-02-22T18:28:26.0,2019-02-22T18:28:26.0,3,Unknown,false,🗃️  Mangal dataset #3 (witt_1998)
18,true,mosquin_martin_1967_19650731_18,1965-07-31T00:00:00.0,"[-114.966667, 75.0]",2019-02-22T18:38:37.0,2019-02-22T18:38:37.0,3,"Occurence of flower-visiting insect on plant species, two miles north of Bailey Point, Melville Island, N.W.T., Canada",false,🗃️  Mangal dataset #4 (mosquin_martin_1967)
15,true,silva_2002_20000301_15,2000-03-01T00:00:00.0,"[-48.4069, -24.2653]",2019-02-22T18:34:15.0,2019-02-22T18:34:15.0,3,"Fruit-bird interaction at the Intervales State Park, Brazil",false,🗃️  Mangal dataset #5 (silva_2002)
3259,true,teal_1962,,"[-81.261573, 31.460082]",2019-03-27T15:30:50.0,2019-03-27T15:30:50.0,4,"Food web structure of a salt marsh, Sapelo Island, Georgia, USA",false,🗃️  Mangal dataset #177 (teal_1962)
908,true,lundgren_olesen_2005_20020804_908,2002-08-04T00:00:00.0,"[-52.144531836264, 70.722635596545]",2019-02-24T22:02:40.0,2019-02-24T22:02:40.0,2,"Pollnator activity recorded on flowers, Uummannaq Island, Greenland, Danmark",false,🗃️  Mangal dataset #7 (lundgren_olesen_2005)
23,true,kaehler_et_al_2005_20020401_23,2002-04-01T00:00:00.0,"[[-48.972930908203125, -25.537485071759033], [-48.88263702392578, -25.537485071759033], [-48.88263702392578, -25.461254675964103], [-48.972930908203125, -25.461254675964103], [-48.972930908203125, -25.537485071759033]]",2019-02-22T20:07:44.0,2019-02-27T15:50:31.0,3,"Pollination of a bromeliad community in the high montane Atlantic rain forest in Paran? state, Brazil",false,🗃️  Mangal dataset #8 (kaehler_et_al_2005)
909,true,elberling_olesen_1999_19940823_909,1994-08-23T00:00:00.0,"[18.5, 68.35]",2019-02-24T22:21:32.0,2019-02-24T22:21:32.0,2,"Flower-visiting insect at Mt. Latnjatjarro, northern Sweden",false,🗃️  Mangal dataset #9 (elberling_olesen_1999)
946,true,elberling_olesen__946,,"[-20.5, 74.5]",2019-02-25T20:09:37.0,2019-02-25T20:09:37.0,2,null,false,🗃️  Mangal dataset #10 (elberling_olesen)
26,true,woodwell_1967_19670101_26,1967-01-01T00:00:00.0,"[-72.9993, 40.828245]",2019-02-22T20:25:23.0,2019-02-22T20:25:23.0,3,Plant and animals interaction in Long Islands estuary,false,🗃️  Mangal dataset #11 (woodwell_1967)
