id,model,connectance_mod,complexity_mod,distance_mod,basal_mod,top_mod,S1_mod,S2_mod,S4_mod,S5_mod
12,random,0.016367307896694654,0.968009141954784,5.0,18.0,15.0,233.0,6.0,98.0,112.0
12,niche,0.015722615576842982,0.9599256896720303,2.0,35.0,29.0,147.0,8.0,141.0,223.0
12,cascade,0.016398891966759,0.9646136057205219,7.0,24.0,28.0,136.0,4.0,148.0,149.0
12,hierarchy,0.014794408733802673,0.9740379630442862,1.0,16.0,24.0,175.0,0.0,127.0,72.0
12,maxent,0.014704440741103813,0.9208610074447915,2.0,26.0,75.0,0.0,0.0,1523.0,154.0
13,random,0.029835390946502057,0.9644563912104762,2.0,8.0,11.0,58.0,0.0,37.0,33.0
13,niche,0.040680473372781065,0.9269202158975813,2.0,20.0,7.0,159.0,18.0,94.0,270.0
13,cascade,0.029154518950437316,0.9538745428188476,3.0,15.0,18.0,44.0,3.0,82.0,57.0
13,hierarchy,0.031207133058984912,0.9636247400238391,1.0,7.0,10.0,126.0,1.0,72.0,55.0
13,maxent,0.03155006858710562,0.9370468558834006,2.0,15.0,39.0,0.0,0.0,401.0,153.0
18,random,0.057692307692307696,0.9521888036606223,2.0,6.0,5.0,23.0,2.0,13.0,15.0
18,niche,0.06721536351165981,0.9285713492825081,2.0,11.0,3.0,33.0,21.0,20.0,59.0
18,cascade,0.05357142857142857,0.9539345048866926,3.0,6.0,10.0,30.0,1.0,39.0,30.0
18,hierarchy,0.04399524375743163,0.9697871637241141,1.0,4.0,9.0,40.0,0.0,24.0,12.0
18,maxent,0.04518430439952437,0.9459201769457763,2.0,11.0,18.0,0.0,0.0,79.0,47.0
3259,random,0.12,0.9373727689489484,3.0,2.0,3.0,50.0,7.0,23.0,17.0
3259,niche,0.2125,0.8803632427153766,3.0,4.0,0.0,22.0,19.0,17.0,37.0
3259,cascade,0.1575,0.913345308023956,4.0,3.0,2.0,71.0,39.0,86.0,103.0
3259,hierarchy,0.15,0.9345500366928353,2.0,2.0,1.0,81.0,27.0,37.0,44.0
3259,maxent,0.15,0.9087820262953369,2.0,3.0,6.0,34.0,26.0,87.0,65.0
908,random,0.04125,0.965281299934772,2.0,7.0,6.0,88.0,4.0,41.0,56.0
